join_name,minutes,start_date
Athlete 16,90,2025-10-11
Athlete 7,68.96666666666667,2025-10-11
Athlete 29,90,2025-10-11
Athlete 14,80.21666666666667,2025-10-11
Athlete 6,63,2025-10-11
Athlete 2,63.95,2025-10-11
Athlete 15,79.28333333333333,2025-10-11
Athlete 19,69.88333333333334,2025-10-11
Athlete 31,66.23333333333333,2025-10-11
Athlete 12,90,2025-10-11
Athlete 22,90,2025-10-11
Athlete 1,6.45,2025-10-11
Athlete 20,24.383333333333333,2025-10-11
Athlete 11,35.81666666666667,2025-10-11
Athlete 17,32,2025-10-11
Athlete 32,32,2025-10-11
Athlete 23,7.766666666666667,2025-10-11
Athlete 16,90,2025-10-18
Athlete 7,72.25,2025-10-18
Athlete 29,90,2025-10-18
Athlete 14,75.18333333333334,2025-10-18
Athlete 6,71.5,2025-10-18
Athlete 2,52.86666666666667,2025-10-18
Athlete 15,90,2025-10-18
Athlete 19,72.6,2025-10-18
Athlete 31,58.75,2025-10-18
Athlete 12,90,2025-10-18
Athlete 22,77.73333333333333,2025-10-18
Athlete 20,8.95,2025-10-18
Athlete 30,4.35,2025-10-18
Athlete 11,45.583333333333336,2025-10-18
Athlete 17,51.483333333333334,2025-10-18
Athlete 9,8.95,2025-10-18
Athlete 32,22.133333333333333,2025-10-18
Athlete 16,90,2025-10-22
Athlete 7,81.9,2025-10-22
Athlete 29,90,2025-10-22
Athlete 14,83.65,2025-10-22
Athlete 6,71.83333333333333,2025-10-22
Athlete 2,41.483333333333334,2025-10-22
Athlete 15,77.61666666666666,2025-10-22
Athlete 19,64.48333333333333,2025-10-22
Athlete 31,35.4,2025-10-22
Athlete 12,90,2025-10-22
Athlete 22,79.86666666666666,2025-10-22
Athlete 20,10.783333333333331,2025-10-22
Athlete 30,12.9,2025-10-22
Athlete 11,48.516666666666666,2025-10-22
Athlete 17,47.68333333333333,2025-10-22
Athlete 9,8.1,2025-10-22
Athlete 32,55.78333333333333,2025-10-22
Athlete 16,90,2025-10-25
Athlete 7,90,2025-10-25
Athlete 29,90,2025-10-25
Athlete 14,84.31666666666666,2025-10-25
Athlete 6,59.31666666666667,2025-10-25
Athlete 2,42.55,2025-10-25
Athlete 15,81.5,2025-10-25
Athlete 19,74.4,2025-10-25
Athlete 12,90,2025-10-25
Athlete 32,71.65,2025-10-25
Athlete 22,90,2025-10-25
Athlete 20,17.2,2025-10-25
Athlete 30,8.5,2025-10-25
Athlete 11,47.45,2025-10-25
Athlete 17,36.36666666666667,2025-10-25
Athlete 9,6.7,2025-10-25
Athlete 23,10.05,2025-10-25
Athlete 16,90,2025-10-04
Athlete 7,71.03333333333333,2025-10-04
Athlete 29,90,2025-10-04
Athlete 14,90,2025-10-04
Athlete 6,56.53333333333333,2025-10-04
Athlete 15,73.86666666666666,2025-10-04
Athlete 19,80.65,2025-10-04
Athlete 31,66.93333333333334,2025-10-04
Athlete 11,68.01666666666667,2025-10-04
Athlete 12,90,2025-10-04
Athlete 22,84.53333333333333,2025-10-04
Athlete 20,16.133333333333333,2025-10-04
Athlete 30,11.533333333333331,2025-10-04
Athlete 17,33.46666666666667,2025-10-04
Athlete 32,35.95,2025-10-04
Athlete 21,9.35,2025-10-04
Athlete 28,10.45,2025-10-04
Athlete 5,11.533333333333331,2025-10-04
Athlete 16,76.53333333333333,2025-10-08
Athlete 7,56,2025-10-08
Athlete 29,67.53333333333333,2025-10-08
Athlete 14,69.43333333333334,2025-10-08
Athlete 6,46.2,2025-10-08
Athlete 2,59.11666666666667,2025-10-08
Athlete 15,47.483333333333334,2025-10-08
Athlete 19,56,2025-10-08
Athlete 31,48.65,2025-10-08
Athlete 12,65.86666666666666,2025-10-08
Athlete 22,65.41666666666667,2025-10-08
Athlete 1,17.116666666666667,2025-10-08
Athlete 20,27.566666666666663,2025-10-08
Athlete 30,17.483333333333334,2025-10-08
Athlete 11,49.333333333333336,2025-10-08
Athlete 17,27.766666666666666,2025-10-08
Athlete 9,9.25,2025-10-08
Athlete 32,38.766666666666666,2025-10-08
Athlete 21,7.933333333333334,2025-10-08
Athlete 23,32.483333333333334,2025-10-08
