athlete_name,unit
Athlete 1,Midfielders
Athlete 2,Defenders
Athlete 3,Defenders
Athlete 4,Goalkeepers
Athlete 5,Defenders
Athlete 6,Midfielders
Athlete 7,Midfielders
Athlete 8,Defenders
Athlete 9,Forwards
Athlete 10,Defenders
Athlete 11,Defenders
Athlete 12,Defenders
Athlete 13,Forwards
Athlete 14,Defenders
Athlete 15,Forwards
Athlete 16,Goalkeepers
Athlete 17,Midfielders
Athlete 18,Defenders
Athlete 19,Midfielders
Athlete 20,Midfielders
Athlete 21,Midfielders
Athlete 22,Midfielders
Athlete 23,Forwards
Athlete 24,Defenders
Athlete 25,Goalkeepers
Athlete 26,Midfielders
Athlete 27,Forwards
Athlete 28,Forwards
Athlete 29,Defenders
Athlete 30,Defenders
Athlete 31,Midfielders
Athlete 32,Forwards
