Group,Start Date,Start Time (s),Athlete Name,Person ID,Athlete Position,Athlete Groups,Start Time,End Time (s),Week Start Date,Month Start Date,Tags,Segment Name,Duration (minutes),Session Load,Distance (yds),Yards per Minute (yds),High Intensity Running (yds),No. of High Intensity Events,Sprint Distance (yds),No. of Sprints,Top Speed (mph),Avg Speed (mph),Accelerations,Decelerations
 -> Training Session,,,,,,,,,,,,,,,,,,,,,,,,
,08/07/2025,16:00:00,Athlete 5,ID_5,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,10:00:00,Athlete 2,ID_2,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,920.0,7235.0,60.0,29.0,3.0,0.0,0.0,14.0,2.1,24.0,31.0
,08/07/2025,10:00:00,Athlete 22,ID_22,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,16:00:00,Athlete 32,ID_32,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,651.0,6284.0,52.0,49.0,7.0,0.0,0.0,13.8,1.8,46.0,36.0
,08/07/2025,10:00:00,Athlete 21,ID_21,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,2.0,79.0,1.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0
,08/07/2025,10:00:00,Athlete 5,ID_5,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,16:00:00,Athlete 10,ID_10,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,458.0,4187.0,35.0,27.0,3.0,0.0,0.0,13.4,1.2,29.0,30.0
,08/07/2025,10:00:00,Athlete 11,ID_11,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,640.0,6146.0,51.0,57.0,5.0,0.0,0.0,13.4,1.7,33.0,31.0
,08/07/2025,16:00:00,Athlete 30,ID_30,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,837.0,6597.0,55.0,164.0,23.0,70.0,4.0,16.2,1.9,81.0,76.0
,08/07/2025,16:00:00,Athlete 6,ID_6,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,10:00:00,Athlete 14,ID_14,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,707.0,6632.0,55.0,64.0,7.0,6.0,1.0,13.9,1.9,30.0,20.0
,08/07/2025,10:00:00,Athlete 1,ID_1,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,16:00:00,Athlete 20,ID_20,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,16:00:00,Athlete 31,ID_31,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,917.0,6815.0,57.0,64.0,9.0,0.0,0.0,13.5,1.9,48.0,37.0
,08/07/2025,10:00:00,Athlete 31,ID_31,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,1005.0,6879.0,57.0,13.0,2.0,0.0,0.0,12.4,2.0,30.0,29.0
,08/07/2025,10:00:00,Athlete 4,ID_4,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,81.0,939.0,8.0,5.0,1.0,0.0,0.0,11.9,0.3,4.0,2.0
,08/07/2025,16:00:00,Athlete 19,ID_19,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,973.0,7111.0,59.0,83.0,10.0,0.0,0.0,13.3,2.0,49.0,53.0
,08/07/2025,10:00:00,Athlete 15,ID_15,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,717.0,6157.0,51.0,53.0,9.0,11.0,1.0,14.2,1.8,54.0,40.0
,08/07/2025,10:00:00,Athlete 7,ID_7,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,586.0,5654.0,47.0,4.0,1.0,0.0,0.0,11.9,1.6,23.0,42.0
,08/07/2025,16:00:00,Athlete 15,ID_15,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,973.0,6958.0,58.0,129.0,17.0,24.0,3.0,15.1,2.0,62.0,53.0
,08/07/2025,16:00:00,Athlete 23,ID_23,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,773.0,6229.0,52.0,51.0,6.0,10.0,2.0,14.8,1.8,54.0,32.0
,08/07/2025,16:00:00,Athlete 13,ID_13,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,16:00:00,Athlete 27,ID_27,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,927.0,6078.0,51.0,13.0,1.0,0.0,0.0,12.9,1.7,51.0,37.0
,08/07/2025,10:00:00,Athlete 6,ID_6,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,16:00:00,Athlete 25,ID_25,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,329.0,4316.0,36.0,0.0,0.0,0.0,0.0,11.8,1.2,19.0,19.0
,08/07/2025,16:00:00,Athlete 28,ID_28,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,687.0,6032.0,50.0,43.0,8.0,17.0,2.0,14.8,1.7,40.0,30.0
,08/07/2025,10:00:00,Athlete 3,ID_3,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,10:00:00,Athlete 10,ID_10,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,4.0,165.0,1.0,0.0,0.0,0.0,0.0,7.3,0.0,2.0,0.0
,08/07/2025,10:00:00,Athlete 25,ID_25,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,417.0,4870.0,41.0,10.0,1.0,0.0,0.0,12.4,1.4,40.0,19.0
,08/07/2025,16:00:00,Athlete 12,ID_12,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,737.0,6031.0,50.0,20.0,3.0,0.0,0.0,12.6,1.7,63.0,39.0
,08/07/2025,10:00:00,Athlete 13,ID_13,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,16:00:00,Athlete 7,ID_7,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,219.0,2741.0,23.0,10.0,1.0,0.0,0.0,13.1,0.8,9.0,5.0
,08/07/2025,10:00:00,Athlete 32,ID_32,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,10:00:00,Athlete 30,ID_30,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,857.0,6756.0,56.0,50.0,8.0,27.0,2.0,15.0,1.9,63.0,58.0
,08/07/2025,10:00:00,Athlete 20,ID_20,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08/07/2025,10:00:00,Athlete 16,ID_16,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,442.0,5279.0,44.0,12.0,2.0,0.0,0.0,13.5,1.5,48.0,23.0
,08/07/2025,16:00:00,Athlete 18,ID_18,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,727.0,6303.0,53.0,24.0,3.0,0.0,0.0,12.5,1.8,43.0,25.0
,08/07/2025,16:00:00,Athlete 11,ID_11,,,16:00,18:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-pm-training",Whole Session,120.0,855.0,7317.0,61.0,71.0,8.0,6.0,1.0,14.3,2.1,71.0,61.0
,08/07/2025,10:00:00,Athlete 17,ID_17,,,10:00,12:00:00,08/04/2025,08/01/2025,"1-pre-season, 2-md-2, 3-am-training",Whole Session,120.0,971.0,6903.0,58.0,71.0,9.0,0.0,0.0,12.7,2.0,45.0,51.0
